id,lat,lng,id
8,42.356081,-71.13490283,8
1,42.370638,-71.11864978,1
5,42.3399396,-71.117234,5
11,42.34208682,-71.10168755,11
12,42.3804112,-71.1014586,12
3,42.36700675,-71.100865,3
6,42.36235475,-71.08979525,6
7,42.34668471,-71.08646814,7
0,42.33625534,-71.07965406,0
9,42.34923088,-71.07188688,9
13,42.3692018,-71.0699584,13
2,42.35811707,-71.057628,2
4,42.32226975,-71.0524405,4
10,42.34944817,-71.04709767,10
,,,
,,,
,,,
,,,
zone 1,"1, 8, 5, 12, 3, 11",,
zone 2,"6, 7, 0, 9",,
zone 3,"13, 2, 4, 10",,
