superzone,original_zone
4,7
21,8
23,9
11,10
0,11
21,15
9,17
5,18
11,19
22,25
13,22
5,29
23,41
21,66
7,52
14,12
0,14
15,20
7,46
0,3
4,24
15,23
11,34
11,33
11,45
7,5
0,30
4,31
11,32
7,53
14,56
7,55
0,62
3,4
14,27
22,13
18,16
22,57
22,51
22,39
7,21
7,61
13,63
4,64
16,83
16,85
16,93
6,92
1,6
19,37
3,26
12,38
13,35
18,36
15,40
18,42
15,43
15,44
15,47
13,49
15,48
18,50
13,54
13,59
1,60
18,58
4,65
13,81
12,94
12,98
8,69
8,82
8,86
1,90
20,91
20,72
20,80
20,67
17,95
2,75
17,88
2,68
2,76
9,96
9,87
9,97
9,70
9,73
9,74
1,84
9,89
17,77
17,78
10,79
10,71
